Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
08-07-2022,3,22000,1100,2 out of 4,Carpet Area,"East Of Ngef Layout, Bennigana Halli",Bangalore,Semi-Furnished,Family,2,Contact Owner
31-05-2022,2,17000,1100,1 out of 3,Super Area,"Malleshpalya, Kaggadasapura",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
27-05-2022,1,6000,400,3 out of 4,Super Area,Parappana Agrahara,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
27-05-2022,2,20000,1250,3 out of 4,Super Area,"Ags Layout, Hebbal",Bangalore,Semi-Furnished,Family,2,Contact Owner
23-05-2022,2,18000,600,Ground out of 2,Super Area,Marathahalli,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
23-06-2022,2,13000,780,1 out of 3,Carpet Area,"Murugeshpalya, Airport Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent
06-07-2022,2,38000,1274,9 out of 32,Carpet Area,Kanakapura Road,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent
16-06-2022,2,36000,1200,1 out of 4,Carpet Area,whitefield,Bangalore,Furnished,Bachelors/Family,2,Contact Agent
20-06-2022,1,7500,400,3 out of 4,Super Area,Chikkalasandra,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
20-06-2022,1,9000,500,Ground out of 4,Super Area,Maruthi Sevanagar,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
04-06-2022,3,18000,1100,11 out of 18,Carpet Area,Doddabanahalli,Bangalore,Semi-Furnished,Bachelors,3,Contact Owner
30-06-2022,1,6500,700,1 out of 4,Super Area,"Electronic City Phase 2, Electronic City",Bangalore,Unfurnished,Bachelors,1,Contact Owner
04-07-2022,2,6000,600,2 out of 3,Super Area,Chikkabanavara,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
09-06-2022,2,18000,1200,3 out of 10,Carpet Area,Kodigenahalli,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
16-06-2022,2,12000,900,2 out of 4,Super Area,"Shivananda Nagar, Vijayanagar",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
12-05-2022,3,75000,1850,6 out of 11,Carpet Area,"Jaya Nagar Block 8, Jayanagar",Bangalore,Semi-Furnished,Bachelors,3,Contact Agent
04-06-2022,2,25000,900,Ground out of 1,Super Area,Kammanahalli,Bangalore,Unfurnished,Family,2,Contact Owner
16-06-2022,2,20000,1050,2 out of 4,Super Area,Hulimavu,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
27-05-2022,2,8000,1200,2 out of 3,Super Area,Vidyaranyapura,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
27-05-2022,2,11000,600,2 out of 4,Super Area,Electronic City,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
09-07-2022,3,65000,1480,7 out of 14,Carpet Area,"Dodda Nekkundi Extension, Kartik Nagar, Outer Ring Road",Bangalore,Furnished,Family,2,Contact Agent
23-05-2022,1,6000,400,4 out of 5,Super Area,Kasturi Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
30-06-2022,4,160000,4500,4 out of 4,Carpet Area,Langford Gardens,Bangalore,Unfurnished,Bachelors,4,Contact Agent
29-06-2022,1,11000,600,Ground out of 3,Super Area,"Maruthi Extesnion, Rajajinagar",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
11-05-2022,2,20000,1100,1 out of 5,Super Area,"Jp Nagar Phase 5, J P Nagar, Outer Ring Road",Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
04-06-2022,1,5500,600,Ground out of 3,Super Area,Rayasandra,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
04-06-2022,3,12000,1100,6 out of 7,Super Area,"Shampura, Kaval Byrasandra",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
04-07-2022,3,21500,1320,3 out of 4,Super Area,Bommasandra,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
19-05-2022,2,9300,500,2 out of 4,Super Area,Rajajinagar,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
19-05-2022,1,6000,600,Ground out of 2,Super Area,Choodasandra,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
27-05-2022,2,13000,650,1 out of 4,Super Area,Arakere,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
20-06-2022,1,7000,300,3 out of 3,Carpet Area,New Thippasandra,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
20-06-2022,2,14000,1000,1 out of 4,Super Area,Battarahalli,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
20-06-2022,2,14000,1200,Ground out of 3,Super Area,"A Narayanapura, Mahadevapura",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
12-06-2022,1,6000,650,2 out of 6,Super Area,Banashankari,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
04-06-2022,1,12500,600,1 out of 1,Super Area,New Bel Road,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
28-04-2022,1,7000,400,2 out of 7,Carpet Area,Gunjur,Bangalore,Semi-Furnished,Bachelors,1,Contact Owner
04-06-2022,2,13000,1000,2 out of 3,Super Area,Anantapura,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
07-07-2022,2,20000,1100,2 out of 3,Carpet Area,Hulimavu,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
23-05-2022,2,24000,1300,2 out of 3,Super Area,"Ombr Layout, Banaswadi",Bangalore,Unfurnished,Bachelors,2,Contact Owner
28-04-2022,1,6000,600,3 out of 3,Super Area,Hongasandra,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
19-05-2022,2,15000,800,1 out of 6,Super Area,Chamrajpet,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
30-05-2022,2,20000,1115,2 out of 4,Super Area,Sahakara Nagar,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
31-05-2022,2,17000,1060,1 out of 5,Carpet Area,K R Puram,Bangalore,Unfurnished,Bachelors,2,Contact Owner
19-05-2022,3,35000,1278,3 out of 7,Super Area,Mathikere,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
04-07-2022,3,22000,1500,2 out of 4,Super Area,Kanakapura Road,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
04-07-2022,2,18000,1000,2 out of 3,Carpet Area,"Jp Nagar Phase 7, J P Nagar",Bangalore,Semi-Furnished,Bachelors,2,Contact Agent
08-06-2022,4,120000,4105,11 out of 25,Carpet Area,Hebbal,Bangalore,Semi-Furnished,Bachelors/Family,4,Contact Agent
27-06-2022,2,10000,800,Ground out of 5,Super Area,Adugodi,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
19-05-2022,2,8000,500,1 out of 3,Super Area,Vijayanagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
23-05-2022,2,9500,700,Ground out of 4,Super Area,Chikkalasandra,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
22-05-2022,2,9000,1055,Ground out of 1,Carpet Area,Sathnur,Bangalore,Semi-Furnished,Bachelors,2,Contact Agent
30-06-2022,3,31000,1325,1 out of 10,Carpet Area,"Jalahalli, Jalahalli, Outer Ring Road",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
29-06-2022,2,14000,950,2 out of 4,Super Area,Electronic City,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
28-05-2022,1,7000,450,Ground out of 4,Carpet Area,Banjara Layout,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
10-05-2022,3,24000,1200,1 out of 3,Super Area,Banaswadi,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
24-05-2022,1,8000,400,2 out of 3,Carpet Area,"Electronic City Phase 2, Electronic City",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
14-05-2022,1,22000,400,Ground out of 3,Super Area,Indira Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
29-04-2022,2,12000,600,Ground out of 2,Super Area,Vijay Enclave,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
04-07-2022,1,5000,500,1 out of 2,Super Area,Vidyaranyapura,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
14-05-2022,1,6000,400,3 out of 4,Super Area,Hongasandra,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
23-05-2022,2,30000,1100,2 out of 5,Super Area,Maruthi Sevanagar,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
23-05-2022,2,12000,650,2 out of 4,Super Area,Bommanahalli,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
23-05-2022,2,15000,600,2 out of 3,Super Area,Ejipura,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
04-06-2022,2,14000,800,1 out of 3,Super Area,Hongasandra,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
04-06-2022,1,22000,460,3 out of 5,Carpet Area,"Murugeshpalya, Airport Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent
31-05-2022,2,40000,1380,2 out of 9,Carpet Area,"Hal Layout, Hosur Road",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent
22-06-2022,1,12000,500,1 out of 3,Super Area,Banaswadi,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
04-06-2022,2,15000,825,Ground out of 2,Super Area,Hulimavu,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
23-05-2022,2,9500,700,2 out of 6,Super Area,Varthur,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
27-05-2022,2,15000,1110,1 out of 2,Carpet Area,Subramanyapura,Bangalore,Unfurnished,Bachelors,2,Contact Owner
04-07-2022,2,15000,800,2 out of 4,Super Area,"Panduranga Nagar, bannerghatta main Road",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
20-06-2022,2,10000,810,Ground out of 2,Super Area,Vijayanagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
27-05-2022,4,15000,1150,Ground out of 3,Super Area,Yelahanka New Town,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
19-05-2022,1,7000,700,3 out of 4,Super Area,Mailasandar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
04-07-2022,1,10000,300,2 out of 3,Super Area,CV Raman Nagar,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
27-06-2022,3,26969,1400,4 out of 14,Super Area,"Hoodi, Hoodi",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
12-06-2022,1,8000,450,2 out of 3,Carpet Area,Channasandra,Bangalore,Unfurnished,Bachelors,1,Contact Owner
06-07-2022,3,52000,1603,26 out of 32,Carpet Area,Kanakapura Road,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
05-07-2022,3,30000,1500,1 out of 1,Super Area,Ulsoor Road,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
20-05-2022,1,6500,200,4 out of 4,Super Area,Mahadevapura,Bangalore,Semi-Furnished,Bachelors,1,Contact Owner
20-06-2022,3,22000,1500,Ground out of 5,Super Area,J P Nagar,Bangalore,Furnished,Bachelors/Family,3,Contact Owner
20-06-2022,1,10000,600,1 out of 3,Super Area,Rajajinagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
20-06-2022,1,6000,150,3 out of 4,Super Area,Malleshwaram,Bangalore,Furnished,Bachelors/Family,1,Contact Owner
19-05-2022,2,13000,750,Ground out of 4,Super Area,K R Puram,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
19-05-2022,2,18000,1300,Ground out of 4,Super Area,Basavanapura,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
19-05-2022,4,30000,1900,3 out of 5,Super Area,Bommanahalli,Bangalore,Unfurnished,Bachelors/Family,3,Contact Owner
17-05-2022,2,10000,300,Ground out of 4,Carpet Area,"Aditya Nagar-Vidyaranyapura, Vidyaranyapura",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
28-04-2022,1,15000,700,2 out of 4,Super Area,Varthur,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
12-06-2022,2,70000,1325,12 out of 16,Carpet Area,Koramangala Block 1,Bangalore,Semi-Furnished,Family,2,Contact Agent
12-06-2022,2,19000,894,3 out of 4,Carpet Area,Amrutahalli,Bangalore,Unfurnished,Bachelors,2,Contact Owner
11-06-2022,2,20000,1100,3 out of 4,Super Area,Electronic City,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
20-06-2022,2,9000,600,1 out of 4,Super Area,Begur,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
19-05-2022,1,5000,500,Ground out of 2,Super Area,Vijayanagar,Bangalore,Furnished,Bachelors/Family,1,Contact Owner
07-07-2022,2,27500,1000,4 out of 4,Carpet Area,ITI Layout,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
27-06-2022,2,16000,850,Ground out of 3,Super Area,Thambuchetty Palya,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
05-07-2022,1,12000,400,3 out of 3,Carpet Area,"Pai Layout-Hulimavu, Hulimavu",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
09-07-2022,3,75000,2400,5 out of 14,Carpet Area,Outer Ring Road,Bangalore,Semi-Furnished,Bachelors/Family,4,Contact Agent
19-05-2022,2,20000,1200,Ground out of 4,Super Area,Btm Layout,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
20-06-2022,1,7000,500,1 out of 2,Super Area,Varanasi,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
20-06-2022,1,11000,550,Ground out of 2,Super Area,Hebbal Kempapura,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
11-06-2022,1,13500,450,Ground out of 4,Carpet Area,Nagarbhavi,Bangalore,Semi-Furnished,Bachelors,1,Contact Owner
16-06-2022,1,17000,430,4 out of 5,Super Area,Garvebhavi Palya,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
04-07-2022,3,55000,2430,4 out of 5,Super Area,Halasuru,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
27-05-2022,1,13000,500,4 out of 5,Super Area,Electronic City,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
27-05-2022,2,11000,600,2 out of 5,Super Area,Electronic City,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
14-05-2022,2,16000,805,5 out of 6,Carpet Area,"Mallasandra, Jalahalli West",Bangalore,Furnished,Bachelors/Family,2,Contact Owner
10-05-2022,2,23500,950,6 out of 8,Super Area,Bilekahalli,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
22-05-2022,2,8500,1000,1 out of 1,Carpet Area,"Kattigenahalli, Bellary Road",Bangalore,Unfurnished,Bachelors,2,Contact Agent
05-05-2022,3,30000,1350,14 out of 14,Super Area,Mylasandra,Bangalore,Furnished,Bachelors/Family,3,Contact Owner
02-07-2022,3,22000,1500,2 out of 4,Carpet Area,Rajarajeshwari Nagar,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
12-05-2022,2,15000,1000,1 out of 3,Carpet Area,Ramamurthy Nagar,Bangalore,Unfurnished,Bachelors,2,Contact Owner
19-05-2022,3,15000,800,Ground out of 3,Super Area,Kithiganur,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
19-05-2022,2,10000,1000,Ground out of 2,Carpet Area,Kamala Nagar,Bangalore,Unfurnished,Bachelors,1,Contact Owner
20-06-2022,2,12500,800,2 out of 3,Super Area,Nagondanahalli,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
29-06-2022,3,24000,1550,1 out of 2,Carpet Area,Byrathi,Bangalore,Semi-Furnished,Bachelors,3,Contact Owner
04-07-2022,2,32000,1000,1 out of 5,Super Area,Guttahalli,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
04-07-2022,2,19000,800,1 out of 4,Super Area,whitefield,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
05-05-2022,1,9000,700,Ground out of 4,Super Area,"Bikasipura, kanakapura Road",Bangalore,Furnished,Bachelors/Family,1,Contact Owner
20-06-2022,2,5500,500,7 out of 10,Super Area,Laggere,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
08-07-2022,1,15000,500,2 out of 3,Carpet Area,"Hsr Layout Sector 3, HSR Layout",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
30-05-2022,2,14000,900,1 out of 4,Super Area,"Seetharampalya, Hoodi",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
04-06-2022,3,27000,1200,2 out of 3,Super Area,"Jp Nagar Phase 7, J P Nagar",Bangalore,Unfurnished,Bachelors,2,Contact Owner
27-05-2022,2,14000,1000,1 out of 2,Super Area,Thanisandra,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
06-07-2022,3,43000,1680,4 out of 9,Carpet Area,Sarjapur Road,Bangalore,Unfurnished,Bachelors,3,Contact Agent
16-06-2022,2,30000,1100,2 out of 5,Carpet Area,"Kaggadasapura, Indira nagar",Bangalore,Semi-Furnished,Bachelors,2,Contact Agent
30-06-2022,2,50000,1200,1 out of 5,Carpet Area,Lavelle Road,Bangalore,Furnished,Bachelors,1,Contact Agent
25-06-2022,1,15000,900,1 out of 3,Carpet Area,"Manyata Residency, Thanisandra",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
24-06-2022,3,25000,1600,3 out of 4,Carpet Area,"Vijaya Bank Colony -Bilekahalli, Bilekahalli",Bangalore,Semi-Furnished,Bachelors,3,Contact Agent
30-06-2022,2,25500,1475,4 out of 9,Carpet Area,"Royal Lakefront Phase-3 North, JP Nagar Phase 8",Bangalore,Furnished,Bachelors/Family,2,Contact Agent
14-05-2022,1,6000,300,1 out of 2,Super Area,Abbigere,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
14-05-2022,1,5000,400,1 out of 2,Super Area,Vaderahalli,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
23-05-2022,1,10000,550,1 out of 4,Super Area,Btm Layout,Bangalore,Semi-Furnished,Family,1,Contact Owner
23-05-2022,1,15000,400,1 out of 5,Super Area,"Nallurhalli, Whitefield, Borewell Road",Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
04-06-2022,1,5000,500,1 out of 2,Super Area,T Dasarahalli,Bangalore,Unfurnished,Family,1,Contact Owner
12-05-2022,3,17000,1200,2 out of 2,Super Area,"Maruthi Nagar-Yelahanka, Yelahanka",Bangalore,Unfurnished,Bachelors/Family,3,Contact Owner
23-05-2022,2,14000,1300,2 out of 4,Super Area,"Chuchangatta Colony, J P Nagar",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
08-06-2022,3,35000,2100,1 out of 2,Super Area,Srinivaspura,Bangalore,Furnished,Bachelors/Family,3,Contact Owner
10-05-2022,2,35000,800,9 out of 10,Carpet Area,Ashok Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
16-06-2022,2,16000,800,1 out of 4,Carpet Area,"Murugeshpalya, Airport Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent
06-07-2022,4,130000,4341,9 out of 15,Carpet Area,Arakere,Bangalore,Semi-Furnished,Bachelors/Family,4,Contact Agent
04-06-2022,2,35000,1300,3 out of 5,Super Area,Jayanagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
16-06-2022,1,10000,400,2 out of 2,Carpet Area,Halasuru,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
19-05-2022,2,12000,800,1 out of 3,Super Area,Ramamurthy Nagar,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
04-06-2022,2,10500,1000,Ground out of 3,Super Area,Banashankari,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
27-05-2022,1,8000,400,1 out of 5,Super Area,"Hennur, Hennur Bagalur Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
23-06-2022,2,15000,1100,Ground out of 5,Carpet Area,"Kaggadasapura, Indira nagar",Bangalore,Semi-Furnished,Bachelors,2,Contact Agent
06-07-2022,2,25000,1200,4 out of 4,Carpet Area,Hsr Layout,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent
23-05-2022,2,9000,600,1 out of 2,Super Area,Mathikere,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
23-05-2022,2,30000,1700,Ground out of 3,Super Area,Sanjay Nagar Stage 2,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
30-06-2022,2,22000,846,2 out of 4,Carpet Area,Ramachandrapuram Rajajinagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
29-06-2022,2,14000,1100,1 out of 3,Super Area,Kyalasanahalli,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
08-07-2022,2,12000,700,1 out of 2,Carpet Area,"Chamundeshwari Layout, Arakere",Bangalore,Semi-Furnished,Family,1,Contact Owner
26-06-2022,2,10000,110,1 out of 1,Carpet Area,Kengeri,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
29-04-2022,3,25000,900,Ground out of 1,Super Area,Kalyan Nagar,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
07-07-2022,1,25000,420,17 out of 18,Carpet Area,Haralur Road,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent
20-06-2022,2,16000,800,1 out of 4,Super Area,J P Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
08-07-2022,3,60000,1500,3 out of 4,Carpet Area,Indira Nagar,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent
04-06-2022,1,7000,900,3 out of 4,Super Area,Vijayanagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
27-05-2022,3,21000,1600,1 out of 4,Super Area,Bilekahalli,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
31-05-2022,4,250000,5700,24 out of 25,Carpet Area,whitefield,Bangalore,Semi-Furnished,Bachelors/Family,4,Contact Agent
09-07-2022,1,19000,625,2 out of 4,Carpet Area,"Hsr Layout Sector 2, HSR Layout",Bangalore,Unfurnished,Bachelors,1,Contact Agent
29-04-2022,4,42500,1760,1 out of 4,Carpet Area,Sun City Layout,Bangalore,Unfurnished,Bachelors/Family,3,Contact Owner
19-05-2022,2,11000,600,Ground out of 3,Super Area,Nagarbhavi,Bangalore,Furnished,Bachelors,1,Contact Owner
19-05-2022,2,18000,1200,3 out of 4,Super Area,Annapurneshwari Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
19-05-2022,1,4300,300,2 out of 4,Super Area,Ragavendra Nagar,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
04-06-2022,2,9000,900,2 out of 4,Super Area,Attiguppe,Bangalore,Furnished,Family,1,Contact Owner
27-05-2022,1,7000,450,1 out of 2,Super Area,Electronic City,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
12-06-2022,2,15000,1050,2 out of 2,Carpet Area,"Mcechs Layout, Jakkuru",Bangalore,Semi-Furnished,Family,2,Contact Owner
07-05-2022,1,4800,580,Ground out of 1,Super Area,Kengeri,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
10-06-2022,2,15000,600,Ground out of 3,Carpet Area,Kalkere,Bangalore,Unfurnished,Bachelors,2,Contact Owner
20-06-2022,1,18000,550,3 out of 6,Carpet Area,Marathahalli,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent
20-06-2022,2,22500,1115,1 out of 4,Super Area,"Abbiareddy Layout, Kaggadasapura",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
23-06-2022,1,9500,300,2 out of 3,Carpet Area,Yemalur,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
30-05-2022,2,12000,1200,1 out of 3,Carpet Area,Abbigere,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
06-07-2022,1,9000,900,3 out of 5,Carpet Area,"Btm Layout Stage 2, BTM Layout",Bangalore,Semi-Furnished,Bachelors,1,Contact Agent
23-05-2022,3,25000,1400,1 out of 7,Super Area,"Kaggadasapura, Indira nagar",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
23-05-2022,1,9000,400,1 out of 3,Super Area,C V Raman Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
23-05-2022,2,11000,900,3 out of 4,Super Area,Arakere,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
19-05-2022,1,12500,500,Ground out of 3,Super Area,Seshadripuram,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
05-07-2022,3,21000,1360,1 out of 4,Super Area,whitefield,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
14-05-2022,3,17681,1110,3 out of 5,Super Area,Electronic City,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
23-05-2022,3,28000,2400,3 out of 4,Super Area,Virupakshapura,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
06-07-2022,3,30000,1700,19 out of 26,Carpet Area,Kanakapura Road,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
16-06-2022,2,25000,980,17 out of 19,Super Area,Mysore Road,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
27-06-2022,2,13000,600,1 out of 2,Super Area,Ramaswami Palya kammanhalli,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
15-05-2022,2,8000,200,2 out of 2,Carpet Area,"Mallathahalli, Outer Ring Road",Bangalore,Furnished,Bachelors/Family,2,Contact Owner
09-07-2022,3,35000,1300,3 out of 4,Carpet Area,Benson Town,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent
19-05-2022,1,8000,750,Ground out of 3,Super Area,K R Puram,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
19-05-2022,2,10000,850,2 out of 4,Super Area,Cox Town,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
19-05-2022,1,11500,600,3 out of 4,Super Area,J P Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
09-07-2022,4,140000,3100,9 out of 22,Super Area,"Dollars Colony-Rmv Extension Stage 2, RMV Extension Stage 2",Bangalore,Semi-Furnished,Bachelors/Family,4,Contact Agent
21-06-2022,2,6000,660,2 out of 3,Super Area,Electronic City,Bangalore,Unfurnished,Bachelors,1,Contact Owner
24-05-2022,2,11000,600,1 out of 3,Carpet Area,Battarahalli,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
04-06-2022,1,4000,250,2 out of 3,Super Area,Btm Layout,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
27-05-2022,2,14000,1200,Ground out of 2,Super Area,Ramamurthy Nagar,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
09-07-2022,2,24000,630,2 out of 5,Carpet Area,Halasuru,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent
23-05-2022,2,11000,840,1 out of 3,Super Area,"Dooravani Nagar, Dooravani Nagar",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
23-05-2022,2,10000,500,Upper Basement out of 4,Carpet Area,Marathahalli,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
31-05-2022,3,62000,1680,4 out of 15,Carpet Area,Hebbal,Bangalore,Semi-Furnished,Bachelors,3,Contact Owner
23-06-2022,2,12000,775,2 out of 3,Carpet Area,"Murugeshpalya, Airport Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent
